public_operation,aliases,ue_spawn_path,ue_operation_name,owner_class,function_name,node_class,metadata,required_evidence,ambiguity_rule,included_in_graphwrite_op,exclude_reason,source_path,_row_count
bitwise_and,"&, bitwise_and, and",commutative_function,,UKismetMathLibrary,And_Int64Int64; And_IntInt,UK2Node_CommutativeAssociativeBinaryOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=&,stable function id（owner_class + function_name）+ graph capability + 输入 pin 类型；可变输入 pin 使用 UK2Node_CommutativeAssociativeBinaryOperator。,同名 token 需按 owner_class、function_name 和 pin 类型区分；可扩展输入 pin 只用于 commutative 节点。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:468; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:365,2
bitwise_or,"|, bitwise_or, or",commutative_function,,UKismetMathLibrary,Or_Int64Int64; Or_IntInt,UK2Node_CommutativeAssociativeBinaryOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=|,stable function id（owner_class + function_name）+ graph capability + 输入 pin 类型；可变输入 pin 使用 UK2Node_CommutativeAssociativeBinaryOperator。,同名 token 需按 owner_class、function_name 和 pin 类型区分；可扩展输入 pin 只用于 commutative 节点。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:476; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:373,2
boolean_and,"AND, &&, and",commutative_function,,UKismetMathLibrary,BooleanAND,UK2Node_CommutativeAssociativeBinaryOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=AND,stable function id（owner_class + function_name）+ graph capability + 输入 pin 类型；可变输入 pin 使用 UK2Node_CommutativeAssociativeBinaryOperator。,同名 token 需按 owner_class、function_name 和 pin 类型区分；可扩展输入 pin 只用于 commutative 节点。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:234,1
boolean_nand,"NAND, nand",commutative_function,,UKismetMathLibrary,BooleanNAND,UK2Node_CommutativeAssociativeBinaryOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=NAND,stable function id（owner_class + function_name）+ graph capability + 输入 pin 类型；可变输入 pin 使用 UK2Node_CommutativeAssociativeBinaryOperator。,同名 token 需按 owner_class、function_name 和 pin 类型区分；可扩展输入 pin 只用于 commutative 节点。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:238,1
boolean_or,"OR, ||, or",commutative_function,,UKismetMathLibrary,BooleanOR,UK2Node_CommutativeAssociativeBinaryOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=OR,stable function id（owner_class + function_name）+ graph capability + 输入 pin 类型；可变输入 pin 使用 UK2Node_CommutativeAssociativeBinaryOperator。,同名 token 需按 owner_class、function_name 和 pin 类型区分；可扩展输入 pin 只用于 commutative 节点。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:242,1
max,"MAX, max",commutative_function,,UKismetMathLibrary,BMax; FMax; Max; MaxInt64,UK2Node_CommutativeAssociativeBinaryOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=MAX,stable function id（owner_class + function_name）+ graph capability + 输入 pin 类型；可变输入 pin 使用 UK2Node_CommutativeAssociativeBinaryOperator。,同名 token 需按 owner_class、function_name 和 pin 类型区分；可扩展输入 pin 只用于 commutative 节点。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:282; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:733; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:397; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:500,4
min,"MIN, min",commutative_function,,UKismetMathLibrary,BMin; FMin; Min; MinInt64,UK2Node_CommutativeAssociativeBinaryOperator,CommutativeAssociativeBinaryOperator=true; CompactNodeTitle=MIN,stable function id（owner_class + function_name）+ graph capability + 输入 pin 类型；可变输入 pin 使用 UK2Node_CommutativeAssociativeBinaryOperator。,同名 token 需按 owner_class、function_name 和 pin 类型区分；可扩展输入 pin 只用于 commutative 节点。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:278; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:729; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:393; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:496,4
string_append,"append, concat, +",commutative_function,,UKismetStringLibrary,Concat_StrStr,UK2Node_CommutativeAssociativeBinaryOperator,CommutativeAssociativeBinaryOperator=true,stable function id（owner_class + function_name）+ graph capability + 输入 pin 类型；可变输入 pin 使用 UK2Node_CommutativeAssociativeBinaryOperator。,同名 token 需按 owner_class、function_name 和 pin 类型区分；可扩展输入 pin 只用于 commutative 节点。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetStringLibrary.h:286,1
abs,"ABS, abs",call_function_compact,,UKismetMathLibrary,Abs; Abs_Int; Abs_Int64,UK2Node_CallFunction,CompactNodeTitle=ABS,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:615; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:409; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:508,3
bitwise_not,"~, bitwise_not, not",call_function_compact,,UKismetMathLibrary,Not_Int; Not_Int64,UK2Node_CallFunction,CompactNodeTitle=~,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:377; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:480,2
bitwise_xor,"^, bitwise_xor, xor",call_function_compact,,UKismetMathLibrary,Xor_Int64Int64; Xor_IntInt,UK2Node_CallFunction,CompactNodeTitle=^,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:472; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:369,2
boolean_nor,"NOR, nor",call_function_compact,,UKismetMathLibrary,BooleanNOR,UK2Node_CallFunction,CompactNodeTitle=NOR,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:250,1
boolean_not,"NOT, !, not",call_function_compact,,UKismetMathLibrary,Not_PreBool,UK2Node_CallFunction,CompactNodeTitle=NOT,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:222,1
boolean_xor,"XOR, xor",call_function_compact,,UKismetMathLibrary,BooleanXOR,UK2Node_CallFunction,CompactNodeTitle=XOR,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:246,1
cross,"cross, ^, cross_product",call_function_compact,,UKismetMathLibrary,CrossProduct2D; Cross_VectorVector,UK2Node_CallFunction,ScriptOperator=^; ScriptMethod; CompactNodeTitle=cross,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:1073; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:1449,2
cross3,"cross3, cross_product_xyz",call_function_compact,,UKismetMathLibrary,Vector4_CrossProduct3,UK2Node_CallFunction,ScriptMethod; CompactNodeTitle=cross3,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:2141,1
datetime_add_datetime,"+, add",call_function_compact,,UKismetMathLibrary,Add_DateTimeDateTime,UK2Node_CallFunction,IgnoreTypePromotion; CompactNodeTitle=+,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3257,1
datetime_add_timespan,"+, add",call_function_compact,,UKismetMathLibrary,Add_DateTimeTimespan,UK2Node_CallFunction,IgnoreTypePromotion; CompactNodeTitle=+,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3249,1
datetime_equal,"==, equal",call_function_compact,,UKismetMathLibrary,EqualEqual_DateTimeDateTime,UK2Node_CallFunction,IgnoreTypePromotion; CompactNodeTitle===,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3265,1
datetime_greater,">, greater",call_function_compact,,UKismetMathLibrary,Greater_DateTimeDateTime,UK2Node_CallFunction,IgnoreTypePromotion; CompactNodeTitle=>,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3273,1
datetime_greater_equal,">=, greater_equal",call_function_compact,,UKismetMathLibrary,GreaterEqual_DateTimeDateTime,UK2Node_CallFunction,IgnoreTypePromotion; CompactNodeTitle=>=,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3277,1
datetime_less,"<, less",call_function_compact,,UKismetMathLibrary,Less_DateTimeDateTime,UK2Node_CallFunction,IgnoreTypePromotion; CompactNodeTitle=<,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3281,1
datetime_less_equal,"<=, less_equal",call_function_compact,,UKismetMathLibrary,LessEqual_DateTimeDateTime,UK2Node_CallFunction,IgnoreTypePromotion; CompactNodeTitle=<=,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3285,1
datetime_not_equal,"!=, not_equal",call_function_compact,,UKismetMathLibrary,NotEqual_DateTimeDateTime,UK2Node_CallFunction,IgnoreTypePromotion; CompactNodeTitle=!=,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3269,1
datetime_subtract_datetime,"-, subtract",call_function_compact,,UKismetMathLibrary,Subtract_DateTimeDateTime,UK2Node_CallFunction,IgnoreTypePromotion; CompactNodeTitle=-,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3261,1
datetime_subtract_timespan,"-, subtract",call_function_compact,,UKismetMathLibrary,Subtract_DateTimeTimespan,UK2Node_CallFunction,IgnoreTypePromotion; CompactNodeTitle=-,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:3253,1
dot,"dot, |, dot_product",call_function_compact,,UKismetMathLibrary,DotProduct2D; Dot_VectorVector; Vector4_DotProduct,UK2Node_CallFunction,ScriptOperator=|; ScriptMethod; CompactNodeTitle=dot,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:1097; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:1445; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:2145,3
dot3,"dot3, dot_product_xyz",call_function_compact,,UKismetMathLibrary,Vector4_DotProduct3,UK2Node_CallFunction,ScriptMethod; CompactNodeTitle=dot3,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:2149,1
equal_exact,"===, equal_exact",call_function_compact,,UKismetMathLibrary; UKismetStringLibrary; UKismetTextLibrary,EqualExactly_Vector2DVector2D; EqualExactly_Vector4Vector4; EqualExactly_VectorVector; EqualEqual_StrStr; EqualEqual_TextText,UK2Node_CallFunction,ScriptOperator===; ScriptMethod; CompactNodeTitle====; CompactNodeTitle====,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:1037; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:2102; Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:1429; Source/Runtime/Engine/Classes/Kismet/KismetStringLibrary.h:295; Source/Runtime/Engine/Classes/Kismet/KismetTextLibrary.h:214,5
equal_ignore_case,"==, equal_ignore_case",call_function_compact,,UKismetStringLibrary; UKismetTextLibrary,EqualEqual_StriStri; EqualEqual_IgnoreCase_TextText,UK2Node_CallFunction,CompactNodeTitle===,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetStringLibrary.h:304; Source/Runtime/Engine/Classes/Kismet/KismetTextLibrary.h:218,2
intpoint_equal,"==, equal, intpoint_equal",call_function_compact,,UKismetMathLibrary,Equal_IntPointIntPoint,UK2Node_CallFunction,ScriptOperator===; ScriptMethod; CompactNodeTitle===,stable function id（owner_class + function_name）+ callable evidence + graph capability；CompactNodeTitle/ScriptOperator 只作为显示/别名证据。,CompactNodeTitle 只是 UI token；多候选时要求 stable function id 或完整 pin 类型。,yes,,Source/Runtime/Engine/Classes/Kismet/KismetMathLibrary.h:960,1
